ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
00AA,small_airport,Aero B Ranch Airport,3435,NA,US,US-KS,Leoti,00AA,,00AA,"-101.473911, 38.704022"
00AK,small_airport,Lowell Field,450,NA,US,US-AK,Anchor Point,00AK,,00AK,"-151.695999146, 59.94919968"
00AL,small_airport,Epps Airpark,820,NA,US,US-AL,Harvest,00AL,,00AL,"-86.77030181884766, 34.86479949951172"
00AS,small_airport,Fulton Airport,1100,NA,US,US-OK,Alex,00AS,,00AS,"-97.8180194, 34.9428028"
00AZ,small_airport,Cordes Airport,3810,NA,US,US-AZ,Cordes,00AZ,,00AZ,"-112.16500091552734, 34.305599212646484"
00CA,small_airport,Goldstone /Gts/ Airport,3038,NA,US,US-CA,Barstow,00CA,,00CA,"-116.888000488, 35.350498199499995"
00CL,small_airport,Williams Ag Airport,87,NA,US,US-CA,Biggs,00CL,,00CL,"-121.763427, 39.427188"
00FA,small_airport,Grass Patch Airport,53,NA,US,US-FL,Bushnell,00FA,,00FA,"-82.21900177001953, 28.64550018310547"
00FL,small_airport,River Oak Airport,35,NA,US,US-FL,Okeechobee,00FL,,00FL,"-80.96920013427734, 27.230899810791016"
00GA,small_airport,Lt World Airport,700,NA,US,US-GA,Lithonia,00GA,,00GA,"-84.06829833984375, 33.76750183105469"
00ID,small_airport,Delta Shores Airport,2064,NA,US,US-ID,Clark Fork,00ID,,00ID,"-116.21399688720703, 48.145301818847656"
00IG,small_airport,Goltl Airport,3359,NA,US,US-KS,McDonald,00IG,,00IG,"-101.395994, 39.724028"
00IL,small_airport,Hammer Airport,840,NA,US,US-IL,Polo,00IL,,00IL,"-89.5604019165039, 41.97840118408203"
00IS,small_airport,Hayenga's Cant Find Farms Airport,820,NA,US,US-IL,Kings,00IS,,00IS,"-89.1229019165039, 40.02560043334961"
00KS,small_airport,Hayden Farm Airport,1100,NA,US,US-KS,Gardner,00KS,,00KS,"-94.93049621582031, 38.72779846191406"
00KY,small_airport,Robbins Roost Airport,1265,NA,US,US-KY,Stanford,00KY,,00KY,"-84.61969757080078, 37.409400939941406"
00LS,small_airport,Lejeune Airport,12,NA,US,US-LA,Esterwood,00LS,,00LS,"-92.42939758300781, 30.13629913330078"
00MD,small_airport,Slater Field,45,NA,US,US-MD,Federalsburg,00MD,,00MD,"-75.75379943847656, 38.75709915161133"
00MN,small_airport,Battle Lake Municipal Airport,1365,NA,US,US-MN,Battle Lake,00MN,,00MN,"-95.70030212402344, 46.29999923706055"
00MO,small_airport,Cooper Flying Service Airport,970,NA,US,US-MO,Alba,00MO,,00MO,"-94.412399291992, 37.202800750732"
00N,small_airport,Bucks Airport,105,NA,US,US-NJ,Bridgeton,00N,,00N,"-75.1852035522461, 39.473201751708984"
00NC,small_airport,North Raleigh Airport,348,NA,US,US-NC,Louisburg,00NC,,00NC,"-78.37139892578125, 36.085201263427734"
00NY,small_airport,Weiss Airfield,1000,NA,US,US-NY,West Bloomfield,00NY,,00NY,"-77.49970245361328, 42.90010070800781"
00OH,small_airport,Exit 3 Airport,785,NA,US,US-OH,Wauseon,00OH,,00OH,"-84.14219665527344, 41.59090042114258"
00PN,small_airport,Ferrell Field,1301,NA,US,US-PA,Mercer,00PN,,00PN,"-80.211111, 41.2995"
00S,small_airport,Mc Kenzie Bridge State Airport,1620,NA,US,US-OR,Mc Kenzie Bridge,00S,,00S,"-122.088996887, 44.183200836199994"
00SC,small_airport,Flying O Airport,150,NA,US,US-SC,Sumter,00SC,,00SC,"-80.26719665527344, 34.0093994140625"
00TN,small_airport,Ragsdale Road Airport,1100,NA,US,US-TN,Manchester,00TN,,00TN,"-85.95359802246094, 35.515899658203125"
00TS,small_airport,Alpine Range Airport,670,NA,US,US-TX,Everman,00TS,,00TS,"-97.24199676513672, 32.607601165771484"
00VA,small_airport,Vaughan Airport,551,NA,US,US-VA,Alton,00VA,,00VA,"-78.9991684, 36.57600021"
00VI,small_airport,Groundhog Mountain Airport,2680,NA,US,US-VA,Hillsville,00VI,,00VI,"-80.49949645996094, 36.663299560546875"
00W,small_airport,Lower Granite State Airport,719,NA,US,US-WA,Colfax,00W,,00W,"-117.44300079346, 46.673500061035"
00WA,small_airport,Howell Airport,150,NA,US,US-WA,Longbranch,00WA,,00WA,"-122.77200317382812, 47.17839813232422"
00WI,small_airport,Northern Lite Airport,860,NA,US,US-WI,Waupaca,00WI,,00WI,"-89.05010223388672, 44.304298400878906"
00WN,small_airport,Hawks Run Airport,2900,NA,US,US-WA,Asotin,00WN,,00WN,"-117.2490005493164, 46.25"
00WV,small_airport,Lazy J. Aerodrome,2060,NA,US,US-WV,Beverly,00WV,,00WV,"-79.86609649658203, 38.82889938354492"
00XS,small_airport,L P Askew Farms Airport,3110,NA,US,US-TX,O'Donnell,00XS,,00XS,"-101.93399810791016, 33.03340148925781"
01A,small_airport,Purkeypile Airport,1950,NA,US,US-AK,Purkeypile,01A,,01A,"-152.27000427246094, 62.943599700927734"
01AL,small_airport,Ware Island Airport,344,NA,US,US-AL,Clanton,01AL,,01AL,"-86.51390075683594, 32.94599914550781"
01CL,small_airport,Swansboro Country Airport,2594,NA,US,US-CA,Placerville,01CL,,01CL,"-120.73400115966797, 38.79990005493164"
01FA,small_airport,Rybolt Ranch Airport,55,NA,US,US-FL,Orlando,01FA,,01FA,"-81.14420318603516, 28.589399337768555"
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19,NA,US,US-FL,Geneva,01FL,,01FL,"-81.1592025756836, 28.78190040588379"
01GE,small_airport,The Farm Airport,375,NA,US,US-GA,Wrightsville,01GE,,01GE,"-82.77110290527344, 32.674400329589844"
01IA,small_airport,Stender Airport,725,NA,US,US-IA,Maysville,01IA,,01IA,"-90.74130249023438, 41.66109848022461"
01ID,small_airport,Lava Hot Springs Airport,5268,NA,US,US-ID,Lava Hot Springs,01ID,,01ID,"-112.03199768066406, 42.60820007324219"
01II,small_airport,Myers Field,950,NA,US,US-IN,Lizton,01II,,01II,"-86.50669860839844, 39.8849983215332"
01IS,small_airport,William E. Koenig Airport,670,NA,US,US-IL,Dow,01IS,,01IS,"-90.31819915771484, 39.01620101928711"
01J,small_airport,Hilliard Airpark,59,NA,US,US-FL,Hilliard,01J,,01J,"-81.90570068359375, 30.68630027770996"
01K,small_airport,Caldwell Municipal Airport,1157,NA,US,US-KS,Caldwell,01K,,01K,"-97.5864028930664, 37.03609848022461"
01KS,small_airport,Flying N Ranch Airport,1485,NA,US,US-KS,Lost Springs,01KS,,01KS,"-97.00330352783203, 38.54059982299805"
01LA,small_airport,Barham Airport,90,NA,US,US-LA,Oak Ridge,01LA,,01LA,"-91.77369689941406, 32.638999938964844"
01LL,small_airport,Schumaier Restricted Landing Area,555,NA,US,US-IL,Pinckneyville,01LL,,01LL,"-89.46389770507812, 38.12580108642578"
01LS,small_airport,Country Breeze Airport,125,NA,US,US-LA,Slaughter,01LS,,01LS,"-91.07740020751953, 30.70599937438965"
01MT,small_airport,Crystal Lakes Resort Airport,3141,NA,US,US-MT,Fortine,01MT,,01MT,"-114.87999725341797, 48.789100646972656"
01NC,small_airport,Topsail Airpark,65,NA,US,US-NC,Holly Ridge,01NC,,01NC,"-77.5813980102539, 34.47529983520508"
01NE,small_airport,Detour Airport,3000,NA,US,US-NE,Wellfleet,01NE,,01NE,"-100.65299987792969, 40.84360122680664"
01NH,small_airport,Moore Airfield,835,NA,US,US-NH,Canaan,01NH,,01NH,"-72.086998, 43.6445"
01NM,small_airport,Champion Ranch Airport,3630,NA,US,US-NM,Artesia,01NM,,01NM,"-104.540278, 33.008611"
01NV,small_airport,Lantana Ranch Airport,4600,NA,US,US-NV,Yerington,01NV,,01NV,"-119.0270004272461, 38.76390075683594"
01OK,small_airport,Lawrence Airport,1525,NA,US,US-OK,Eakly,01OK,,01OK,"-98.6364974975586, 35.294498443603516"
01PN,small_airport,Bierly(Personal Use) Airport,960,NA,US,US-PA,Bellefonte,01PN,,01PN,"-77.73889923095703, 40.930599212646484"
01PS,small_airport,Nort's Resort Airport,1040,NA,US,US-PA,Meshoppen,01PS,,01PS,"-76.02960205078125, 41.59590148925781"
01SC,small_airport,York Airport,779,NA,US,US-SC,York,01SC,,01SC,"-81.25279998779297, 35.032100677490234"
01TE,small_airport,Smith Field,505,NA,US,US-TX,Forney,01TE,,01TE,"-96.4280014038086, 32.73759841918945"
01TN,small_airport,Colonial Air Park,370,NA,US,US-TN,Collierville,01TN,,01TN,"-89.73059844970703, 34.99589920043945"
01TX,small_airport,Mims Farm Ultralightport,610,NA,US,US-TX,Waxahachie,01TX,,01TX,"-96.87750244140625, 32.38759994506836"
01U,small_airport,Duckwater Airport,5124,NA,US,US-NV,Duckwater,01U,,01U,"-115.63400268554688, 38.851600646972656"
01UT,small_airport,La Sal Junction Airport,6000,NA,US,US-UT,La Sal,01UT,,01UT,"-109.39600372314453, 38.30830001831055"
01VA,small_airport,Pickles Airport,500,NA,US,US-VA,Berryville,01VA,,01VA,"-77.9250030518, 39.125"
01WI,small_airport,Prehn Cranberry Company Airport,930,NA,US,US-WI,Tomah,01WI,,01WI,"-90.38919830322266, 44.0099983215332"
01WY,small_airport,Keyhole Airport,4250,NA,US,US-WY,Moorcroft,01WY,,01WY,"-104.81099700927734, 44.347198486328125"
02AK,small_airport,Rustic Wilderness Airport,190,NA,US,US-AK,Willow,02AK,,02AK,"-150.09800720214844, 61.87689971923828"
02AL,small_airport,Bass Field,61,NA,US,US-AL,Foley,02AL,,02AL,"-87.76439666748047, 30.37150001525879"
02AR,small_airport,Three Rivers Airport,264,NA,US,US-AR,Little Rock,02AR,,02AR,"-92.4444198608, 34.8224449158"
02CD,small_airport,Shannon Field,165,NA,US,US-MS,Clarksdale,02CD,,02CD,"-90.52400207519531, 34.129600524902344"
02CL,small_airport,Conover Air Lodge Airport,5160,NA,US,US-CA,Frazier Park,02CL,,02CL,"-119.05899810791016, 34.76110076904297"
02CO,small_airport,Mc Cullough Airport,7615,NA,US,US-CO,Monte Vista,02CO,,02CO,"-106.04699707, 37.64329910279999"
02FA,small_airport,Osborn Airfield,121,NA,US,US-FL,Groveland,02FA,,02FA,"-81.87480163574219, 28.52669906616211"
02FL,small_airport,Cuchens Airport,215,NA,US,US-FL,Defuniak Springs,02FL,,02FL,"-86.123889, 30.642778"
02GA,small_airport,Doug Bolton Field,884,NA,US,US-GA,Commerce,02GA,,02GA,"-83.42900085449219, 34.202598571777344"
02GE,small_airport,Etowah Fields Airport,710,NA,US,US-GA,Euharlee,02GE,,02GE,"-84.92440032958984, 34.17530059814453"
02ID,small_airport,Morgan Ranch Airport,5634,NA,US,US-ID,Cascade,02ID,,02ID,"-115.30500030517578, 44.55550003051758"
02II,small_airport,King Ultralightport,925,NA,US,US-IN,Westfield,02II,,02II,"-86.21050262451172, 40.06230163574219"
02IN,small_airport,Diamond P. Field,904,NA,US,US-IN,Muncie,02IN,,02IN,"-85.54080200195312, 40.208900451660156"
02KS,small_airport,Jmj Landing Airport,1170,NA,US,US-KS,St Marys,02KS,,02KS,"-96.0552978515625, 39.222198486328125"
02MD,small_airport,Garner Field,141,NA,US,US-MD,Brandywine,02MD,,02MD,"-76.709739, 38.672544"
02ME,small_airport,Old Acton Airfield,700,NA,US,US-ME,Acton,02ME,,02ME,"-70.92939758300781, 43.53730010986328"
02MI,small_airport,Fairplains Airpark,850,NA,US,US-MI,Greenville,02MI,,02MI,"-85.14849853515625, 43.157100677490234"
02MN,small_airport,Greenbush Municipal Airport,1070,NA,US,US-MN,Greenbush,02MN,,02MN,"-96.19200134277344, 48.68330001831055"
02MO,small_airport,Troy Airpark,650,NA,US,US-MO,Troy,02MO,,02MO,"-91.03350067138672, 39.04999923706055"
02MS,small_airport,Watts Field,153,NA,US,US-MS,Rochdale,02MS,,02MS,"-90.8468017578125, 34.100101470947266"
02MT,small_airport,Barrett Field,3350,NA,US,US-MT,Cascade,02MT,,02MT,"-111.74199676513672, 47.23740005493164"
02MU,small_airport,Timber Line Airpark,1550,NA,US,US-MO,Cassville,02MU,,02MU,"-93.79740142822266, 36.65420150756836"
02NE,small_airport,Benes Service Airport,1550,NA,US,US-NE,Valparaiso,02NE,,02NE,"-96.90450286865234, 41.074501037597656"
02NV,small_airport,Paiute Meadows Airport,4443,NA,US,US-NV,Winnemucca,02NV,,02NV,"-118.5979995727539, 41.30329895019531"
02OH,small_airport,Zimmerman Airport,614,NA,US,US-OH,Fremont,02OH,,02OH,"-83.08329772949219, 41.376399993896484"
02OI,small_airport,Murtha Airport,950,NA,US,US-OH,Conneaut,02OI,,02OI,"-80.56539916992188, 41.801998138427734"
02OR,small_airport,Rowena Dell Airport,705,NA,US,US-OR,The Dalles,02OR,,02OR,"-121.31600189208984, 45.68149948120117"
02PS,small_airport,Hughes Ultralightport,1700,NA,US,US-PA,Tioga,02PS,,02PS,"-77.23030090332031, 41.90060043334961"
02SC,small_airport,Harpers Airport,111,NA,US,US-SC,Estill,02SC,,02SC,"-81.22480010986328, 32.75849914550781"
02T,small_airport,Wise River Airport,5830,NA,US,US-MT,Wise River,02T,,02T,"-112.98200225830078, 45.769100189208984"
02TN,small_airport,Ellis Field,840,NA,US,US-TN,Murfreesboro,02TN,,02TN,"-86.58419799804688, 35.780601501464844"
02TX,small_airport,The Palms At Kitty Hawk Airport,3235,NA,US,US-TX,New Home,02TX,,02TX,"-101.92288208, 33.3704032898"
02UT,small_airport,Lucin Airport,4412,NA,US,US-UT,Lucin,02UT,,02UT,"-113.84300231933594, 41.36629867553711"
02VA,small_airport,The Greenhouse Airport,320,NA,US,US-VA,Culpeper,02VA,,02VA,"-77.8572006225586, 38.435699462890625"
02WA,small_airport,Cawleys South Prairie Airport,690,NA,US,US-WA,South Prairie,02WA,,02WA,"-122.09400177001953, 47.15230178833008"
02WI,small_airport,Beer Airport,920,NA,US,US-WI,Hudson,02WI,,02WI,"-92.65579986572266, 45.031898498535156"
02WN,small_airport,Fowler Field,2150,NA,US,US-WA,Tonasket,02WN,,02WN,"-119.31900024414062, 48.74580001831055"
02XS,small_airport,Seidel Ranch Airport,510,NA,US,US-TX,Elroy,02XS,,02XS,"-97.66280364990234, 30.1476993560791"
03AZ,small_airport,Thompson International Aviation Airport,4275,NA,US,US-AZ,Hereford,03AZ,,03AZ,"-110.08399963378906, 31.433399200439453"
03CO,small_airport,Kugel-Strong Airport,4950,NA,US,US-CO,Platteville,03CO,,03CO,"-104.744003296, 40.2125015259"
03FA,small_airport,Lake Persimmon Airstrip,70,NA,US,US-FL,Lake Placid,03FA,,03FA,"-81.40809631347656, 27.353099822998047"
03GA,small_airport,HIA Airport,238,NA,US,US-IN,Statesboro,03GA,,03GA,"-81.8576944, 32.5623056"
03IA,small_airport,East Field,954,NA,US,US-IA,Montezuma,03IA,,03IA,"-92.4613037109375, 41.58190155029297"
03ID,small_airport,Flying Y Ranch Airport,3180,NA,US,US-ID,Council,03ID,,03ID,"-116.53299713134766, 44.7943000793457"
03II,small_airport,Davis Field Ultralightport,465,NA,US,US-IN,Mount Vernon,03II,,03II,"-87.7789001465, 37.9620018005"
03IL,small_airport,Wix Airport,750,NA,US,US-IL,Monee,03IL,,03IL,"-87.81670379638672, 41.40230178833008"
03IN,small_airport,Heinzman Airport,850,NA,US,US-IN,Arcadia,03IN,,03IN,"-86.01249694824219, 40.18000030517578"
03KY,small_airport,Flying H Farms Airport,385,NA,US,US-KY,Henderson,03KY,,03KY,"-87.54139709472656, 37.79169845581055"
03MA,small_airport,Hadley Airport,150,NA,US,US-MA,Hadley,03MA,,03MA,"-72.552001953125, 42.39310073852539"
03ME,small_airport,Maple Ridge Airport,556,NA,US,US-ME,Harrison,03ME,,03ME,"-70.6272964477539, 44.08420181274414"
03MN,small_airport,Nauerth Land Ranch Airport,1435,NA,US,US-MN,Lakefield,03MN,,03MN,"-95.22470092773438, 43.62519836425781"
03MO,small_airport,Cahoochie Airport,1010,NA,US,US-MO,Urbana,03MO,,03MO,"-93.13159942626953, 37.884498596191406"
03MT,small_airport,Cascade Airport,3580,NA,US,US-MT,Cascade,03MT,,03MT,"-111.72200012207031, 47.27080154418945"
03MU,small_airport,Mc Donnell Airport,874,NA,US,US-MO,Archie,03MU,,03MU,"-94.41249847410002, 38.4925003052"
03NC,small_airport,Pilots Ridge Airport,35,NA,US,US-NC,Carolina Beach,03NC,,03NC,"-77.9041976928711, 34.10430145263672"
03ND,small_airport,Olafson Brothers Airport,1045,NA,US,US-ND,Edinburg,03ND,,03ND,"-97.8290023803711, 48.626399993896484"
03NE,small_airport,Hyde Ranch Airport,2430,NA,US,US-NE,Comstock,03NE,,03NE,"-99.3311996459961, 41.5463981628418"
03NV,small_airport,Llama Ranch Airport,6120,NA,US,US-NV,Ruby Valley,03NV,,03NV,"-115.2979965209961, 40.58440017700195"
03NY,small_airport,Talmage Field,95,NA,US,US-NY,Riverhead,03NY,,03NY,"-72.716796875, 40.95840072631836"
03OH,small_airport,Gibbs Field,580,NA,US,US-OH,Fremont,03OH,,03OH,"-83.01740264892578, 41.418399810791016"
03OK,small_airport,Sahoma Lake Airport,890,NA,US,US-OK,Sapulpa,03OK,,03OK,"-96.1613998413086, 36.04119873046875"
03OR,small_airport,Powwatka Ridge Airport,3340,NA,US,US-OR,Troy,03OR,,03OR,"-117.48400115966797, 45.85540008544922"
03PR,small_airport,Sun View Field Airport,980,NA,US,US-KS,Bonner Springs,03PR,,03PR,"-94.921703, 39.065947"
03PS,small_airport,Ziggy's Field,1050,NA,US,US-PA,Bellefonte,03PS,,03PS,"-77.90560150146484, 40.849998474121094"
03S,small_airport,Sandy River Airport,704,NA,US,US-OR,Sandy,03S,,03S,"-122.22899627685547, 45.401798248291016"
03TE,small_airport,Barronena Ranch Airport,600,NA,US,US-TX,Hebbronville,03TE,,03TE,"-98.66950225830078, 27.491100311279297"
03UT,small_airport,A Z Minerals Corporation Airport,5315,NA,US,US-UT,Mexican Hat,03UT,,03UT,"-109.98600006103516, 37.12080001831055"
03WA,small_airport,Spangle Field,2440,NA,US,US-WA,Spangle,03WA,,03WA,"-117.37200164794922, 47.408199310302734"
03WI,small_airport,Zink Airport,880,NA,US,US-WI,Berlin,03WI,,03WI,"-88.883945, 44.028873"
03WN,small_airport,Aerostone Ranch Airport,2320,NA,US,US-WA,Goldendale,03WN,,03WN,"-120.66999816894531, 45.875"
03XS,small_airport,Creekside Airport,2100,NA,US,US-TX,Mertzon,03XS,,03XS,"-100.75399780273438, 31.318099975585938"
04AA,small_airport,Phil's Airport,250,NA,US,US-AK,Soldotna,04AA,,04AA,"-150.811387, 60.535833"
04AZ,small_airport,Chinle Airport,5515,NA,US,US-AZ,Chinle,04AZ,,04AZ,"-109.5510025024414, 36.15420150756836"
04CA,small_airport,Gray Butte Field,3020,NA,US,US-CA,Palmdale,KGXA,,04CA,"-117.675003, 34.5639"
04CL,small_airport,Hunt's Sky Ranch Airport,2310,NA,US,US-CA,Julian,04CL,,04CL,"-116.44100189208984, 33.08169937133789"
04F,small_airport,De Leon Municipal Airport,1293,NA,US,US-TX,De Leon,04F,,04F,"-98.52529907226562, 32.09880065917969"
04FA,small_airport,Richards Field,9,NA,US,US-FL,Homestead,04FA,,04FA,"-80.51509857177734, 25.558700561523438"
04FL,small_airport,Cross Creek Farms Airport,30,NA,US,US-FL,Ormond,04FL,,04FL,"-81.22200012207031, 29.23940086364746"
04I,small_airport,Columbus Southwest Airport,920,NA,US,US-OH,Columbus,04I,,04I,"-83.18879699707031, 39.91120147705078"
04IA,small_airport,Middlekoop Airport,801,NA,US,US-IA,Packwood,04IA,,04IA,"-92.05460357666016, 41.08829879760742"
04ID,small_airport,Lanham Field,2343,NA,US,US-ID,Emmett,04ID,,04ID,"-116.53700256347656, 43.87770080566406"
04II,small_airport,Turkey Run Airport,765,NA,US,US-IN,New Haven,04II,,04II,"-84.99410247802734, 41.13059997558594"
04IL,small_airport,Schertz Aerial Service - Hudson Airport,755,NA,US,US-IL,Hudson,04IL,,04IL,"-89.0070037842, 40.6375007629"
04IS,small_airport,Van Gorder Airport,728,NA,US,US-IL,Mansfield,04IS,,04IS,"-88.56900024414062, 40.1786003112793"
04KY,small_airport,Natchez Trace Farm Airport,710,NA,US,US-KY,Hiseville,04KY,,04KY,"-85.78939819335938, 37.135101318359375"
04LL,small_airport,Brunner Airport,750,NA,US,US-IL,West Dundee,04LL,,04LL,"-88.28759765625, 42.13610076904297"
04ME,small_airport,Beech Hill Airport,625,NA,US,US-ME,Mercer,04ME,,04ME,"-69.8938980102539, 44.66669845581055"
04MI,small_airport,Rapids Airway Airport,880,NA,US,US-MI,Eaton Rapids,04MI,,04MI,"-84.62830352783203, 42.53450012207031"
04MN,small_airport,Helblad Airport,1195,NA,US,US-MN,Kelliher,04MN,,04MN,"-94.68689727783203, 47.985801696777344"
04MO,small_airport,Airpark Private Airport,767,NA,US,US-MO,Vandalia,04MO,,04MO,"-91.45149993896484, 39.30120086669922"
04MS,small_airport,Nick's Flying Service Inc Airport,100,NA,US,US-MS,Rolling Fork,04MS,,04MS,"-90.8373031616, 32.939601898199996"
04MT,small_airport,Pluhar Airport,2715,NA,US,US-MT,Cohagen,04MT,,04MT,"-106.488095, 47.13749777779999"
04NE,small_airport,Mc Connell Field Airport,3035,NA,US,US-NE,Sarben,04NE,,04NE,"-101.299003601, 41.159999847399995"
04NJ,small_airport,Emmanuel Airport,155,NA,US,US-NJ,Elmer,04NJ,,04NJ,"-75.2334976196, 39.596801757799994"
04NV,small_airport,Kingston Ranch Airport,2620,NA,US,US-NV,Sandy Valley,04NV,,04NV,"-115.665000916, 35.7555007935"
04NY,small_airport,Klaverack Airport,250,NA,US,US-NY,Hudson,04NY,,04NY,"-73.6961975098, 42.262298584"
04OR,small_airport,Collins Landing Strip,1500,NA,US,US-OR,Mitchell,04OR,,04OR,"-120.200996399, 44.7499008179"
04TN,small_airport,Hensley Airpark,1430,NA,US,US-TN,Chuckey,04TN,,04TN,"-82.67890167239999, 36.183300018299995"
04TX,small_airport,Pocock Airport,565,NA,US,US-TX,China Spring,04TX,,04TX,"-97.36889648440001, 31.7322006226"
04UT,small_airport,Navajo Mountain Airport,6160,NA,US,US-UT,Navajo Mountain Trdng Post,04UT,,04UT,"-110.794998169, 37.0083007812"
04V,small_airport,Saguache Municipal Airport,7826,NA,US,US-CO,Saguache,04V,,04V,"-106.1743889, 38.0990833"
04VG,small_airport,Manquin Flight Park Ultralightport,50,NA,US,US-VA,Manquin,04VG,,04VG,"-77.21179962160001, 37.7144012451"
04VT,small_airport,Lightning Bolt Field Airport,2156,NA,US,US-VT,Cabot,04VT,,04VT,"-72.26360321039999, 44.4011001587"
04W,small_airport,Field of Dreams Airport,1021,NA,US,US-MN,Hinckley,04W,,04W,"-92.895401001, 46.0228004456"
04WA,small_airport,Ox Meadows Airport,2345,NA,US,US-WA,Spokane,04WA,,04WA,"-117.43699646, 47.5817985535"
04WI,small_airport,Dutch Gap Airstrip,760,NA,US,US-WI,Bristol,04WI,,04WI,"-88.0167007446, 42.523399353"
04WN,small_airport,Stillwater Creek Airport,1510,NA,US,US-WA,Royal City,04WN,,04WN,"-119.641667, 46.963889"
05AK,small_airport,Wasilla Creek Airpark,620,NA,US,US-AK,Palmer,05AK,,05AK,"-149.1880035, 61.66830063"
05AR,small_airport,Ozark Skies Airpark,1900,NA,US,US-AR,Kingston,05AR,,05AR,"-93.57025, 36.000633"
05CL,small_airport,Pope Valley Airport,618,NA,US,US-CA,Pope Valley,05CL,,05CL,"-122.39099884, 38.6106987"
05CO,small_airport,Rancho De Aereo Airport,4978,NA,US,US-CO,Mead,05CO,,05CO,"-104.9844228, 40.2149839"
05FA,small_airport,Melanie's Airport,295,NA,US,US-FL,Florala,05FA,,05FA,"-86.21829986572266, 30.918899536132812"
05FL,small_airport,Charlton Strip,36,NA,US,US-FL,La Belle,05FL,,05FL,"-81.4083023071289, 26.523099899291992"
05GA,small_airport,Raju Airport,625,NA,US,US-GA,Richland,05GA,,05GA,"-84.71440124511719, 32.0713996887207"
05IA,small_airport,Spotts Field,1155,NA,US,US-IA,Nora Springs,05IA,,05IA,"-93.06829833984375, 43.13750076293945"
05ID,small_airport,Running Creek Ranch Airport,2969,NA,US,US-ID,Grangeville,05ID,,05ID,"-114.835999, 45.914101"
05II,small_airport,Reichhart Airport,795,NA,US,US-IN,New Haven,05II,,05II,"-84.99720001220703, 41.02870178222656"
05IL,small_airport,Classic Landings Airport,635,NA,US,US-IL,Bonfield,05IL,,05IL,"-88.0167007446289, 41.156700134277344"
05IN,small_airport,Cooper Airport,860,NA,US,US-IN,Belleville,05IN,,05IN,"-86.50420379638672, 39.641998291015625"
05IS,small_airport,Hardy Airport,605,NA,US,US-IL,Mount Auburn,05IS,,05IS,"-89.26399993896484, 39.72589874267578"
05KS,small_airport,Darbro Field,945,NA,US,US-KS,Elk City,05KS,,05KS,"-95.95919799804688, 37.26620101928711"
05KY,small_airport,Cartersville Airport,1070,NA,US,US-KY,Berea,05KY,,05KY,"-84.40720367, 37.53689957"
05LA,small_airport,Greg's Flying Service Airport,76,NA,US,US-LA,Baskin,05LA,,05LA,"-91.69779968261719, 32.26530075073242"
05LS,small_airport,Grass Roots Airport,83,NA,US,US-LA,Alexandria,05LS,,05LS,"-92.47579956054688, 31.252199172973633"
05MD,small_airport,Breezecroft Airport,20,NA,US,US-MD,Chestertown,05MD,,05MD,"-76.2052001953125, 39.250099182128906"
05ME,small_airport,Drisko Airport,70,NA,US,US-ME,Jonesboro,05ME,,05ME,"-67.55919647216797, 44.65700149536133"
05NE,small_airport,Mc Kay Airport,2010,NA,US,US-NE,Spalding,05NE,,05NE,"-98.3089981079, 41.7221984863"
05NV,small_airport,Baker Ranches Airport,5180,NA,US,US-NV,Baker,05NV,,05NV,"-114.088219, 39.0311"
05OI,small_airport,Dorlon Airpark,830,NA,US,US-OH,Columbia Station,05OI,,05OI,"-81.96260070800781, 41.28839874267578"
05OK,small_airport,Hawk Haven Airport,1075,NA,US,US-OK,Crescent,05OK,,05OK,"-97.56749725341797, 35.85340118408203"
05OR,small_airport,Peacock Ranch Airport,3500,NA,US,US-OR,Enterprise,05OR,,05OR,"-117.35099792480469, 45.44150161743164"
05PS,small_airport,Mills Brothers Airport,1210,NA,US,US-PA,Burnt Cabins,05PS,,05PS,"-77.86190032958984, 40.142799377441406"
05S,small_airport,Vernonia Airfield,647,NA,US,US-OR,Vernonia,05S,,05S,"-123.24199676513672, 45.85150146484375"
05TA,small_airport,Brandes Air Field,276,NA,US,US-TX,Sealy,05TA,,05TA,"-96.26509857177734, 29.809099197387695"
05TE,small_airport,Hilde-Griff Field,950,NA,US,US-TX,Georgetown,05TE,,05TE,"-97.79139709472656, 30.72209930419922"
05TS,small_airport,Dew Drop Airport,750,NA,US,US-TX,Justin,05TS,,05TS,"-97.35859680175781, 33.12929916381836"
05TX,small_airport,Circle 'A' Ranch Airport,608,NA,US,US-TX,Blum,05TX,,05TX,"-97.4041976928711, 32.12919998168945"
05UT,small_airport,Oljato Airport,4838,NA,US,US-UT,Oljato,05UT,,05UT,"-110.31700134277344, 37.03329849243164"
05V,small_airport,Blanca Airport,7720,NA,US,US-CO,Blanca,05V,,05V,"-105.552001953125, 37.41109848022461"
05VA,small_airport,Providence Airport,445,NA,US,US-VA,Farmville,05VA,,05VA,"-78.4186019897461, 37.22420120239258"
05WI,small_airport,Ames Private Airport,958,NA,US,US-WI,Darien,05WI,,05WI,"-88.74590301513672, 42.651100158691406"
05WN,small_airport,Flat Creek Field,1570,NA,US,US-WA,Kettle Falls,05WN,,05WN,"-118.0475, 48.702222"
